,Sample_Point_(SP),Year,Latitude,Longitude,Depth,Rake_Abundance,Rake_Abundance_#,Alisma_gramineum,Benthic_Filamentous_Algae,Callitriche_hermaphroditica,Ceratophyllum_demersum,Chara_vulgaris,Elodea_sp.,Floating_Filamentous_Algae,Fontinalis_sp.,Heteranthera_dubia,Hydrocharis_morsus-ranae,Hypericum_ellipticum,Lemna_minor,Lemna_trisulca,Megalodonta_beckii,Myriophyllum_sibiricum,Myriophyllum_spicatum,Najas_flexilis,Najas_guadalupensis,Nitella_flexilis,Nitellopsis_obtusa,Nuphar_variegata,Nymphaea_odorata,Pithophora_sp.,Polygonum_amphibium,Potamogeton_amplifolius,Potamogeton_crispus,Potamogeton_crispus_turions,Potamogeton_foliosus,Potamogeton_gramineus,Potamogeton_illinoensis,Potamogeton_pectinatus,Potamogeton_praelongus,Potamogeton_pusillus,Potamogeton_richardsonii,Potamogeton_zosteriformis,Ranunculus_trichophyllus,Riccia_fluitans,Spirodela_polyrhiza,Stuckenia_pectinata,Stuckenia_vaginata,Utricularia_vulgaris,Vallisneria_americana,Wolffia_columbiana,Zannichellia_palustris
0,1,2008,42.9776517,-75.88712,0.3048,,,,S,T,S,,,M,,,,,S,T,,,M,,,,,,T,,,,,,,,,,,,,,T,,M,,,M,,M,
1,2,2008,42.9775198,-75.8872126,0.3048,,,,T,,M,,T,,,T,,,,,,,S,,,,,,T,,,,T,,,,,,,,,,T,,,,,,,S,
2,3,2008,42.9776614,-75.887699,0.6096,,,,,,M,,T,,,T,,,T,T,,,M,,,,,M,T,,,,,,,,,,,,,,S,,,,,T,,T,
3,4,2008,42.9776742,-75.8883369,0.6096,,,,,,M,,S,,,S,,,,,,,M,,,,,T,S,,,,,,,,,,,,,,,,,,,,,,
4,5,2008,42.9775424,-75.8893554,0.6096,,,,,,D,,,,,,,,,,,,M,,,,,S,S,,,,,,,,,,,,,,S,,,,,,,,
5,6,2008,42.9772273,-75.8898137,0.6096,,,,S,,M,,T,S,,T,,,,,,,D,,,,,D,,,,S,,,,,,,,,,,T,,,,,,,M,
6,7,2008,42.9770512,-75.8892474,1.524,,,,,,D,,T,,,T,,,,,,,M,,,,,,,,,,T,,,,,,,,,,,,,,,,,,
7,8,2008,42.9770271,-75.8884454,1.8288000000000002,,,,,,M,,T,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,T,,,,,,,,
8,9,2008,42.9769913,-75.88726,1.2192,,,,T,,T,,T,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,T,,,,,,,,
9,10,2008,42.9766792,-75.8870589,0.6096,,,,T,,,,,,,,,,,T,,,M,,,,,,T,,,M,,,,,,,,,,,,,,,,,T,,
10,11,2008,42.9765257,-75.8878652,3.048,,,,,,T,,,,,,,,,,,,M,,,,,,,,,,T,,T,,,,,,,,,,,,,,,,
11,12,2008,42.976554,-75.8888094,1.2192,,,,,,D,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,2008,42.9765976,-75.8901296,0.9144000000000001,,,,,,M,,S,,,T,,,,,,,D,,,,,,T,,,S,,,,,,,,,,,,,,,,,T,,
13,14,2008,42.9759387,-75.8904761,0.9144000000000001,,,,,,,S,S,S,,T,,,,,,,M,T,,,,,S,,,S,,,,,,,,,,,T,,,,,,M,,
14,15,2008,42.9758036,-75.8895223,2.1336,,,,,,M,,,,,,,,,,,,D,,,,,,,,,S,,,,,T,,,,,,,,,,,,,,
15,16,2008,42.9758839,-75.8883072,3.048,,,,T,,M,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17,2008,42.9759918,-75.887147,1.8288000000000002,,,,T,,T,,,,,,,,,,,,M,,,,,,,,,T,,,,,,,,,,,,,,,,,S,,
17,18,2008,42.975287,-75.8866842,0.9144000000000001,,,,T,,T,,T,,,,,,,,,,D,,,,,,T,,,S,,,,,,,,,,,,,,,,,,,
18,19,2008,42.9750457,-75.8874802,3.3528000000000002,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,2008,42.9750334,-75.8882365,3.3528000000000002,,,,,,S,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21,2008,42.9749651,-75.8893911,1.2192,,,,,,D,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22,2008,42.9748581,-75.89047,0.9144000000000001,,,,,,T,T,T,,,S,,,,T,T,,D,,,,,,T,,,,,,,,,,,,T,,T,,,,,,,,
22,23,2008,42.9740548,-75.8901428,0.6096,,,,T,,S,,S,T,,,,,,,,,M,T,,,,,T,,,,,,,,,,,,,,T,,,,,,,,
23,24,2008,42.9739341,-75.8893533,1.524,,,,,,M,,,,,,,,,,,,D,,,,,,,,,T,,,,,,,,,,,,,,,,,,,
