,Sample_Point_(SP),Year,Date,Rake_toss_#,Latitude,Longitude,Depth,Rake_Abundance,PERCENT,Alisma_gramineum,Benthic_Filamentous_Algae,Callitriche_hermaphroditica,Ceratophyllum_demersum,Chara_vulgaris,Elodea_sp.,Floating_Filamentous_Algae,Fontinalis_sp.,Heteranthera_dubia,Hydrocharis_morsus-ranae,Hypericum_ellipticum,Juncus_sp.,Lemna_minor,Lemna_trisulca,Ludwigia_sp.,Megalodonta_beckii,Myriophyllum_sibiricum,Myriophyllum_spicatum,Najas_flexilis,Najas_guadalupensis,Nitella_flexilis,Nitellopsis_obtusa,Nuphar_variegata,Nymphaea_odorata,Pithophora_sp.,Polygonum_amphibium,Potamogeton_amplifolius,Potamogeton_crispus,Potamogeton_crispus_turions,Potamogeton_foliosus,Potamogeton_gramineus,Potamogeton_illinoensis,Potamogeton_praelongus,Potamogeton_pusillus,Potamogeton_richardsonii,Potamogeton_zosteriformis,Ranunculus_trichophyllus,Riccia_fluitans,Spirodela_polyrhiza,Stuckenia_pectinata,Stuckenia_vaginata,Utricularia_vulgaris,Vallisneria_americana,Wolffia_columbiana,Zannichellia_palustris,Zosterella_dubia,Abundance_calcs
0,1,2009,,1.0,42.97768,75.88696,0.3,D,100.05000000000004,,1.0,1.0,81.0,,3.0,,,,,,,0.01,0.01,,2.0,,7.0,,,,,,2.0,,,,,,,,,,0.01,,1.0,2.0,,0.01,,,,,0.01,,,
1,1,2009,,2.0,42.97768,75.88696,,D,100.01,,1.0,1.0,72.0,,4.0,0.01,,,,,,1.0,1.0,,,,5.0,,,,,,1.0,,1.0,,,,,,,,1.0,,2.0,2.0,,0.01,,,6.0,,1.0,,1.0,
2,2,2009,,1.0,42.9775198,75.8872126,0.5,D,100.08000000000004,,8.0,,85.0,,1.0,2,,,,,,0.01,0.01,,1.0,,0.01,,,,,,0.01,,,1.0,0.01,,,,,,0.01,,1.0,1.0,,0.01,1.0,,,1.0,0.01,,,
3,2,2009,,2.0,42.9775198,75.8872126,,D,100.04,,12.0,,57.0,,1.0,2,,,,,,0.01,1.0,,,,1.0,,,,,,,,,8.0,,,,1.0,8.0,0.01,3.0,,2.0,1.0,,0.01,,,2.0,2.0,0.01,,1.0,
4,3,2009,,1.0,42.9776614,75.887699,1.0,M,100.03000000000002,,5.0,,87.0,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.01,,2.0,2.0,,0.01,,,,,0.01,,,
5,3,2009,,2.0,42.9776614,75.887699,,M,100.01,,4.0,,50.0,,10.0,,,,,,,,2.0,,,,1.0,,,,,10.0,,,,2.0,,,,,1.0,,1.0,,2.0,,,,,,16.0,0.01,,,1.0,
6,4,2009,,1.0,42.9776742,75.8883369,1.0,D,100.02,,4.0,,30.0,20.0,2.0,,,,,,,,,,10.0,,,,,,,0.01,,,,,,,,,,,0.01,,30.0,,,,,,,,,,4.0,
7,4,2009,,2.0,42.9776742,75.8883369,,D,100.02,,,,60.0,2.0,5.0,,,,,,,,2.0,,,,,,,,,13.0,,,,0.01,2.0,,,,,,,,10.0,,,,3.0,,,1.0,0.01,,2.0,
8,5,2009,,1.0,42.39775424,75.8893554,1.2,D,100.01,,1.0,,94.0,,2.0,2,,,,,,,,,,,,,,,,0.01,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,
9,5,2009,,2.0,42.39775424,75.8893554,,D,100.0,,,,65.0,1.0,10.0,2,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,,,5.0,1.0,,,1.0,,6.0,,,,2.0,
10,6,2009,,1.0,42.9772273,75.8898137,1.0,D,100.03000000000002,,5.0,,58.0,2.0,7.0,,0.01,,,,,,0.01,,2.0,,4.0,,,4.0,2.0,,,,,,0.01,,,,1.0,3.0,,,3.0,2.0,,,,,4.0,,,,3.0,
11,6,2009,,2.0,42.9772273,75.8898137,,D,100.01,,3.0,,60.0,0.01,20.0,,,,,,,,1.0,,1.0,,,,,,,,,,,8.0,,,,,,,1.0,,3.0,3.0,,,,,,,,,,
12,7,2009,,1.0,42.9770512,75.8892474,1.8,M,100.01,,3.0,,93.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,,0.01,,,,,,1.0,,,,,,,,,,,
13,7,2009,,2.0,42.9770512,75.8892474,,S,100.0,,9.0,,84.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,1.0,1.0,,,,,,,,,,
14,8,2009,,1.0,42.9770271,75.8884454,2.3,M,100.0,,20.0,,60.0,,5.0,,,,,,,,,,,,,,3.0,,,,,,,,5.0,,,,,,,,2.0,,,,,,5.0,,,,,
15,8,2009,,2.0,42.9770271,75.8884454,,M,100.0,,3.0,,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,9,2009,,1.0,42.9769913,75.88726,1.6,D,100.02,,3.0,,92.0,,0.01,,,,,,,,,,,,,,,,,,,,,,0.01,,,,1.0,,2.0,,2.0,,,,,,,,,,,
17,9,2009,,2.0,42.9769913,75.88726,,D,100.03000000000002,,3.0,,87.0,,0.01,,,,,,,,0.01,,,,,,,,,,,,,,1.0,,,,,,5.0,,4.0,0.01,,,,,,,,,,
18,10,2009,,1.0,42.9766792,75.8870589,1.0,D,100.02,,10.0,,7.0,2.0,3.0,,,,,,,,0.01,,,,,,,,3.0,,,,,35.0,0.01,,,,,15.0,,15.0,5.0,,,,,,,5.0,,,,
19,10,2009,,2.0,42.9766792,75.8870589,,D,100.01,,13.0,,20.0,1.0,1.0,,,,,,,,0.01,,,,,,,,,,,,,60.0,,,,,,,,,4.0,,,,,,,1.0,,,,
20,11,2009,,1.0,42.9765257,75.8878652,3.2,M,100.0,,30.0,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,
21,11,2009,,2.0,42.9765257,75.8878652,,M,100.0,,10.0,,70.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,7.0,,,,,,,,,,,
22,12,2009,,1.0,42.976554,75.8888094,2.75,S,100.0,,70.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,
23,12,2009,,2.0,42.976554,75.8888094,,M,100.0,,28.0,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
